ablation_type,ablation_percentage,micro_f1,micro_f1_std,macro_f1,macro_f1_std,samples_f1,samples_f1_std,jaccard_samples,jaccard_samples_std,hamming_loss,hamming_loss_std,micro_accuracy,micro_accuracy_std,auroc,auroc_std,micro_f1_degradation,macro_f1_degradation,samples_f1_degradation,jaccard_samples_degradation,hamming_loss_degradation,micro_accuracy_degradation,auroc_degradation
Attention Ablation,0.1,0.43685954567769125,0.007101529662376904,0.30568351876287214,0.010577450397318002,0.4214564619243454,0.0076204674697073205,0.2921505984091487,0.006644486395408815,0.05428259451487564,0.001697360562752786,0.024070450097847355,0.003202332083139876,0.865513207593471,0.0031669994102163875,-0.003857969270536832,-0.01256739191946954,-0.007628650206715215,-0.005481413642625499,-0.00010068351342919224,0.0005870841487279829,-0.002606795122625738
Attention Ablation,0.2,0.43255834311227337,0.007918741594499604,0.28966118970346716,0.016202945613346686,0.4164360590368794,0.009107516181994133,0.2879202685513639,0.007291844798362466,0.052619189426813005,0.0013670902748693025,0.02172211350293542,0.003962515994386808,0.8599057078922611,0.005776282229204043,-0.008159171835954715,-0.028589720978874522,-0.012649053094181184,-0.00971174350041032,-0.0017640886014918256,-0.0017612524461839522,-0.008214294823835622
Attention Ablation,0.3,0.41760064492868076,0.006981891871365788,0.2594206965076105,0.019061203463845308,0.4029130457097906,0.0077165745909931974,0.2770192885680124,0.0073590480397158755,0.052536940922884946,0.004066352886426637,0.02289628180039139,0.004524081117912512,0.8533739454363897,0.0061778856537623925,-0.02311687001954732,-0.058830214174731166,-0.026172066421270013,-0.020612723483761808,-0.0018463371054198846,-0.0005870841487279829,-0.014746057279707014
Attention Ablation,0.4,0.391251177829976,0.017030752935818492,0.20422890926607273,0.02681657501738286,0.37870243781063684,0.015439925386037806,0.25790397001021415,0.012482150686884986,0.05228026886752318,0.0032375751172665714,0.021330724070450096,0.005939297920464468,0.835919939054526,0.00889498420702501,-0.0494663371182521,-0.11402200141626895,-0.05038267432042376,-0.03972804204156005,-0.002103009160781648,-0.0021526418786692765,-0.03220006366157069
Attention Ablation,0.5,0.31958240399413984,0.05302097659448717,0.10965985506807671,0.028141310625526876,0.3104375186807384,0.04819902235324934,0.20857070246304277,0.03598978980968769,0.05222921807198162,0.006360061853950929,0.02035225048923679,0.006133155524353898,0.7866330006182843,0.020366301391513675,-0.12113511095408824,-0.20859105561426497,-0.11864759345032222,-0.08906130958873143,-0.002154059956323208,-0.0031311154598825837,-0.08148700209781234
Attention Ablation,0.6,0.2956235771168932,0.031945887283140524,0.0846731710297278,0.01856609058243246,0.28353970754369034,0.034945760843696785,0.1864152642114721,0.02415072501421693,0.0525525397770782,0.006172269576032494,0.012720156555772993,0.0065394447670461256,0.7622966468196348,0.022775709410102846,-0.1450939378313349,-0.23357773965261389,-0.14554540458737025,-0.11121674784030211,-0.0018307382512266282,-0.010763209393346379,-0.10582335589646186
Attention Ablation,0.7,0.27137483511452193,0.060054528564148384,0.06468463778720243,0.019788810998874473,0.2579616713058115,0.059231396155617316,0.16764876128663067,0.04007526528205753,0.05203919566635469,0.0059502700954802154,0.007632093933463796,0.006080898205568907,0.7212741778341382,0.03201708671039696,-0.16934267983370616,-0.2535662728951392,-0.1711234408252491,-0.12998325076514353,-0.002344082361950141,-0.015851272015655577,-0.14684582488195852
Attention Ablation,0.8,0.20772995582079562,0.057016322810597875,0.04410858015461943,0.015769299045593994,0.19943758306684142,0.05402938648027806,0.1288189836861253,0.03508443219585939,0.05554751978218327,0.011333835661448558,0.010176125244618394,0.009884251493738191,0.6733606430895676,0.04852181629298233,-0.23298755912743246,-0.27414233052772224,-0.22964752906421917,-0.1688130283656489,0.0011642417538784422,-0.013307240704500978,-0.19475935962652913
Attention Ablation,0.9,0.2494421297283298,0.04262171933294445,0.044630479352715906,0.013828232202590222,0.23680724894715316,0.041333887438853203,0.15085684812307473,0.027887146313893274,0.0505743214498426,0.00545208678688857,0.003522504892367906,0.006174642956920669,0.6600847531388617,0.04702183427416782,-0.1912753852198983,-0.27362043132962577,-0.19227786318390744,-0.14677516392869946,-0.0038089565784622317,-0.019960861056751468,-0.20803524957723496
Attention Ablation,1.0,0.23975791433891996,2.925694557147251e-17,0.037130498751689486,7.314236392868128e-18,0.23060440706677662,2.925694557147251e-17,0.144223624245496,2.925694557147251e-17,0.046314416177429873,0.0,0.0,0.0,0.7177035026956364,0.0,-0.20095960060930812,-0.2811204119306522,-0.19848070506428397,-0.1534083878062782,-0.008068861850874957,-0.023483365949119372,-0.15041650002046025
