label,precision,recall,f1,support,frequency
powdery,0.175,0.4117647058823529,0.24561403508771928,17,0.03497942386831276
animal,0.2727272727272727,0.21428571428571427,0.24,14,0.02880658436213992
lily,0.2,0.2857142857142857,0.23529411764705882,7,0.01440329218106996
solvent,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.012345679012345678
pine,0.2,0.25,0.2222222222222222,8,0.01646090534979424
cocoa,0.16666666666666666,0.3333333333333333,0.2222222222222222,12,0.024691358024691357
grassy,1.0,0.125,0.2222222222222222,8,0.01646090534979424
ozone,0.5,0.14285714285714285,0.2222222222222222,7,0.01440329218106996
lavender,0.16666666666666666,0.25,0.2,4,0.00823045267489712
hay,0.2222222222222222,0.18181818181818182,0.2,11,0.02263374485596708
plum,0.3333333333333333,0.14285714285714285,0.2,7,0.01440329218106996
leathery,0.2,0.2,0.2,5,0.0102880658436214
pungent,0.2,0.19047619047619047,0.1951219512195122,21,0.043209876543209874
metallic,0.25,0.15384615384615385,0.19047619047619047,13,0.026748971193415638
camphoreous,0.16666666666666666,0.21428571428571427,0.1875,14,0.02880658436213992
berry,0.14814814814814814,0.25,0.18604651162790697,16,0.03292181069958848
geranium,0.2,0.16666666666666666,0.18181818181818182,6,0.012345679012345678
popcorn,0.125,0.25,0.16666666666666666,4,0.00823045267489712
melon,0.125,0.23076923076923078,0.16216216216216217,13,0.026748971193415638
muguet,0.125,0.16666666666666666,0.14285714285714285,6,0.012345679012345678
beefy,0.1111111111111111,0.2,0.14285714285714285,5,0.0102880658436214
almond,0.1,0.18181818181818182,0.12903225806451613,11,0.02263374485596708
musty,0.10714285714285714,0.14285714285714285,0.12244897959183673,21,0.043209876543209874
chocolate,0.08333333333333333,0.14285714285714285,0.10526315789473684,7,0.01440329218106996
leafy,0.09523809523809523,0.1111111111111111,0.10256410256410256,18,0.037037037037037035
clean,0.07692307692307693,0.1,0.08695652173913043,10,0.0205761316872428
cooked,0.07142857142857142,0.1,0.08333333333333333,10,0.0205761316872428
cherry,0.05,0.125,0.07142857142857142,8,0.01646090534979424
vetiver,0.0,0.0,0.0,5,0.0102880658436214
warm,0.0,0.0,0.0,10,0.0205761316872428
weedy,0.0,0.0,0.0,4,0.00823045267489712
orris,0.0,0.0,0.0,6,0.012345679012345678
gassy,0.0,0.0,0.0,4,0.00823045267489712
grapefruit,0.0,0.0,0.0,7,0.01440329218106996
juicy,0.0,0.0,0.0,5,0.0102880658436214
natural,0.0,0.0,0.0,9,0.018518518518518517
aromatic,0.0,0.0,0.0,8,0.01646090534979424
radish,0.0,0.0,0.0,6,0.012345679012345678
raspberry,0.0,0.0,0.0,4,0.00823045267489712
cortex,0.0,0.0,0.0,6,0.012345679012345678
soapy,0.0,0.0,0.0,5,0.0102880658436214
strawberry,0.0,0.0,0.0,5,0.0102880658436214
celery,0.0,0.0,0.0,6,0.012345679012345678
bitter,0.0,0.0,0.0,10,0.0205761316872428
black currant,0.0,0.0,0.0,4,0.00823045267489712
brandy,0.0,0.0,0.0,4,0.00823045267489712
tea,0.0,0.0,0.0,6,0.012345679012345678
