label,precision,recall,f1,support,frequency
almond,0.21428571428571427,0.3333333333333333,0.2608695652173913,9.0,0.017612524
savory,0.19230769230769232,0.38461538461538464,0.2564102564102564,13.0,0.025440313
radish,0.5,0.16666666666666666,0.25,6.0,0.011741683
ozone,0.25,0.25,0.25,4.0,0.007827789
orangeflower,0.2,0.3333333333333333,0.25,3.0,0.0058708414
plum,0.5,0.16666666666666666,0.25,6.0,0.011741683
celery,0.25,0.25,0.25,4.0,0.007827789
chamomile,0.2,0.3333333333333333,0.25,3.0,0.0058708414
pungent,0.23809523809523808,0.25,0.24390243902439024,20.0,0.039138943
camphoreous,0.17857142857142858,0.38461538461538464,0.24390243902439024,13.0,0.025440313
ripe,0.16666666666666666,0.4444444444444444,0.24242424242424243,9.0,0.017612524
animal,0.4,0.16666666666666666,0.23529411764705882,12.0,0.023483366
lily,0.2,0.2857142857142857,0.23529411764705882,7.0,0.01369863
apricot,0.2222222222222222,0.25,0.23529411764705882,8.0,0.015655577
milky,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0,0.017612524
strawberry,0.25,0.2,0.2222222222222222,5.0,0.009784736
tomato,0.2,0.25,0.2222222222222222,4.0,0.007827789
burnt,0.18518518518518517,0.2631578947368421,0.21739130434782608,19.0,0.037181996
leafy,0.21428571428571427,0.21428571428571427,0.21428571428571427,14.0,0.02739726
grassy,0.25,0.16666666666666666,0.2,6.0,0.011741683
vetiver,0.16666666666666666,0.25,0.2,4.0,0.007827789
sour,0.15384615384615385,0.2857142857142857,0.2,7.0,0.01369863
cedar,0.2,0.2,0.2,5.0,0.009784736
pine,0.16666666666666666,0.25,0.2,8.0,0.015655577
terpenic,0.2,0.2,0.2,5.0,0.009784736
cooling,0.14285714285714285,0.25,0.18181818181818182,8.0,0.015655577
sharp,0.16666666666666666,0.2,0.18181818181818182,10.0,0.019569471
cortex,0.2,0.16666666666666666,0.18181818181818182,6.0,0.011741683
natural,0.3333333333333333,0.125,0.18181818181818182,8.0,0.015655577
cherry,0.13333333333333333,0.25,0.17391304347826086,8.0,0.015655577
bitter,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0,0.011741683
soapy,0.14285714285714285,0.2,0.16666666666666666,5.0,0.009784736
hay,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0,0.01369863
warm,0.3333333333333333,0.1,0.15384615384615385,10.0,0.019569471
musty,0.125,0.15,0.13636363636363635,20.0,0.039138943
powdery,0.125,0.11764705882352941,0.12121212121212122,17.0,0.0332681
hyacinth,0.08333333333333333,0.16666666666666666,0.1111111111111111,6.0,0.011741683
clean,0.1111111111111111,0.1,0.10526315789473684,10.0,0.019569471
berry,0.08695652173913043,0.125,0.10256410256410256,16.0,0.031311154
lavender,0.0625,0.25,0.1,4.0,0.007827789
hawthorn,0.0,0.0,0.0,3.0,0.0058708414
aromatic,0.0,0.0,0.0,8.0,0.015655577
weedy,0.0,0.0,0.0,4.0,0.007827789
malty,0.0,0.0,0.0,3.0,0.0058708414
juicy,0.0,0.0,0.0,5.0,0.009784736
leathery,0.0,0.0,0.0,5.0,0.009784736
gassy,0.0,0.0,0.0,4.0,0.007827789
fruit skin,0.0,0.0,0.0,5.0,0.009784736
cooked,0.0,0.0,0.0,9.0,0.017612524
raspberry,0.0,0.0,0.0,4.0,0.007827789
cabbage,0.0,0.0,0.0,5.0,0.009784736
tea,0.0,0.0,0.0,6.0,0.011741683
sweaty,0.0,0.0,0.0,4.0,0.007827789
