label,precision,recall,f1,support,frequency
lemon,0.2,0.125,0.15384615384615385,8.0,0.015655577
lily,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0,0.01369863
medicinal,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0,0.01369863
fermented,0.125,0.13333333333333333,0.12903225806451613,15.0,0.029354207
almond,0.125,0.1111111111111111,0.11764705882352941,9.0,0.017612524
powdery,0.10526315789473684,0.11764705882352941,0.1111111111111111,17.0,0.0332681
cooked,0.1,0.1111111111111111,0.10526315789473684,9.0,0.017612524
warm,0.0,0.0,0.0,10.0,0.019569471
aromatic,0.0,0.0,0.0,8.0,0.015655577
weedy,0.0,0.0,0.0,4.0,0.007827789
malty,0.0,0.0,0.0,3.0,0.0058708414
berry,0.0,0.0,0.0,16.0,0.031311154
bitter,0.0,0.0,0.0,6.0,0.011741683
tea,0.0,0.0,0.0,6.0,0.011741683
gassy,0.0,0.0,0.0,4.0,0.007827789
chocolate,0.0,0.0,0.0,7.0,0.01369863
ozone,0.0,0.0,0.0,4.0,0.007827789
hay,0.0,0.0,0.0,7.0,0.01369863
raspberry,0.0,0.0,0.0,4.0,0.007827789
clean,0.0,0.0,0.0,10.0,0.019569471
muguet,0.0,0.0,0.0,6.0,0.011741683
hawthorn,0.0,0.0,0.0,3.0,0.0058708414
hyacinth,0.0,0.0,0.0,6.0,0.011741683
juicy,0.0,0.0,0.0,5.0,0.009784736
soapy,0.0,0.0,0.0,5.0,0.009784736
strawberry,0.0,0.0,0.0,5.0,0.009784736
